هيو هناك، بالزبط مقابل مكتب المعلومات السياحية.	هناك ، أمام بيانات السائح تماما .
هيو هناك، بالزبط قدام مكتب معلومات السياح .	هناك ، أمام بيانات السائح تماما .
ما عمري سمعت عن هالعنوان هون.	لم اسمع بهذا العنوان من قبل بالقرب من هنا .
خليك ماشي دغري لتلاقي صيدلية.	استمر في السير في هذا الطريق حتى تجد صيدلية .
امشي دغري لعند ما تشوف صيدلية.	استمر في السير في هذا الطريق حتى تجد صيدلية .
روح دغري حتى تشوف الصيدلية.	استمر في السير في هذا الطريق حتى تجد صيدلية .
قديش الفطور؟	كم تكلفة الإفطار ؟
كم سعر الفطور؟	كم تكلفة الإفطار ؟
قديش حق هالفطور؟	كم تكلفة الإفطار ؟
كيف بقدر أساعدك؟	كيف أستطيع مساعدتك ؟
كيف بقدر أساعدك؟	كيف أستطيع مساعدتك ؟
كيف بقدر اساعدك؟	كيف أستطيع مساعدتك ؟
روح شمال عند الكورنر التالتة.	اتجه يسارا عند الناصية الثالثة .
روح يسار من عند الدخلة التالتة.	اتجه يسارا عند الناصية الثالثة .
روح شمال عند الزاوية الثالثة.	اتجه يسارا عند الناصية الثالثة .
بتحب الكريمة والسكر مع قهوتك؟	هل تحب أن تضع قشدة وسكر في قهوتك ؟
بتحب كريما و سكر بقهوتك؟	هل تحب أن تضع قشدة وسكر في قهوتك ؟
بتقدر تصرفلي شك الميتين دولار تبعي؟	هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟
ممكن تصرفلي الشيك بميتين دولار؟	هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟
بتقدر تصرف هاد الشيك تبعي بميتين دولار؟	هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟
ازا بده يظهر، لو سمحت كلمني.	إذا حدث ذلك ، من فضلك أتصل بي .
اذا لازم يظهر، لو سمحت احكي معي.	إذا حدث ذلك ، من فضلك أتصل بي .
وين الكوفي شوب؟	أين المقهى ؟
وين الكوفي شوب؟	أين المقهى ؟
وين الكوفي شوب؟	أين المقهى ؟
بدي جرزة أطفال.	أريد جاكيت للأطفال .
بدي بلوفر للأطفال .	أريد جاكيت للأطفال .
طيب. بتكلف خمسة و تمانين سنت للبريد العادي و تلات دولارات بالزبط اضافية للتوصيل الخاص.	حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .
طيب. بكلف تمنية وخمسين سنت للبريد العادي وتلاتة دولار بالزبط اضافية للتوصيل الخاص.	حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .
ماشي، رح يكلف خمس و ثمانين سينت للبريد العادي، و ثلاثة دولار بالزبط اضافية للتوصيل الخاص.	حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .
رح ألاقي صعوبات في الجمارك؟	هل لديك أحذية حريمي عند أصابع القدم ؟
راح يكون عندي أي صعوبة في التعامل مع الجمارك؟	هل لديك أحذية حريمي عند أصابع القدم ؟
رح يكون عندي مشاكل مع الجمارك؟	هل لديك أحذية حريمي عند أصابع القدم ؟
في عندك كندرة رسمي عريضة؟	هل ستواجهني أية صعوبات في الجمارك ؟
عندك احذية رسمية واسعة عند الاصابع؟	هل ستواجهني أية صعوبات في الجمارك ؟
لأ. تاخد غرفة بتختين لاستعمال واحد؟ في عنا واحدة.	لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .
لا . بقدر اقترح بدالها استخدام غرفة مزدوجة لاستعمال فرد؟ عنا واحدة.	لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .
بدي كيرلي صغير، لو سمحت.	أريد تمويج متقارب لشعري ، من فضلك .
أنا بدي اياه كتير مموج، لو سمحت.	أريد تمويج متقارب لشعري ، من فضلك .
بدي كيرلي قوي، لو سمحت.	أريد تمويج متقارب لشعري ، من فضلك .
بدها بيرة.	هي تريد بيرة .
بدها خمرة.	هي تريد بيرة .
بدي بيرم رفيع، لو سمحت .	هي تريد بيرة .
صباح الخير. كيف حالك؟	صباح الخير . كيف حالك .
صباح الخير. كيف حالك؟	صباح الخير . كيف حالك .
بدها بيرة؟	صباح الخير . كيف حالك .
متأسف محتاج اني أشوف بطاقة الهوية.	أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .
أسف راح أحتاج أشوف اثبات هوية.	أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .
شو نوع الصوص؟	أي نوع من الملابس ؟
أي نوع من الصوص؟	أي نوع من الملابس ؟
اي نوع من الصوص؟	أي نوع من الملابس ؟
هاد بارد شوي. ممكن تسخنه؟	هذا بارد إلى حد ما . هل يمكن أن تقوم بتسخينه ؟
هاد بارد شوي. ممكن تسخنو؟	هذا بارد إلى حد ما . هل يمكن أن تقوم بتسخينه ؟
