في اثنعش فريق بيسبول محترف في اليابان.	هناك اثنا عشر فريقا للبيسبول في اليابان .
متهيئلى ده عالي شوية بالنسبالي.	أود حجز رحلة عودة .
عايز درس خصوصي .	أريد درسا خصوصياً .
شوي حر.	إنه حار نوعاً ما .
بدي بلوفر للأطفال .	أريد حجز غرفتين مزدوجتين .
فين الطرقة؟	أين اللوبي ؟
مرحبا، هاد روي؟	هل يشمل رسم الخدمة ؟
مية وعشرين مليون شخص في ارض مساحتها ثلاثمية وثمانين الف كيلومتر مربع؟	مائة وعشرين مليون شخص في أرض مساحتها ثلاثمائة وثمانين ألف كيلو متر مربع ؟
اى خط رايح ماديسون سكوير؟	أي خط لميدان ماديسون ؟
متى نلتقي؟	متى نلتقي سوياً ؟
عندك واحد كحلي؟	هل لديك واحدة لونها أزرق داكن ؟
طبعاً. إحنا هنبقى مبسوطين ان إحنا نعمل كدة.	حسنا ، أعتقد أن سعر الصرف يتقلب بين توقعات بالارتفاع والانخفاض عموما .
اسحب من حسابي، لو سمحت.	قيد في حسابي الآن ، من فضلك ؟
ممكن توريلي حاجة على مقاسي؟	هل تستطيع أن تريني شئ ما على مقاسي ؟
محد تعور واجد.	لم يصب أحد إصابة خطيرة .
أكيد . خليني أشوف . اتوقع انو المرجان آذاك .	سنكون في انتظارك في ذلك اليوم .
مشكور. يالله. خل نروح.	شكراً جزيلاً . هيا . دعنا نذهب .
أنا هستنى لغاية ماالبلكون تفضى.	أريد لعبة لبنت عمرها خمس سنوات .
مش ممكن تتكلم دلوقتي مع البلد اللي بتتصل بيها . من فضلك حاول تتصل بعدين .	إن اتصالك بالبلد الذى تحاول الاتصال به لا يمكن إتمامه الآن . من فضلك حاول الاتصال فى وقت لاحق .
ممكن تحزن شنطي لحد ما امشي من الفندق؟	هل لك أن تحفظ لي أمتعتي حتى موعد المغادرة ؟
بغيت جنجر إيل.	أحب تناول جعة الزنجبيل .
انا فعلا بأحبه .	أحبه فعلاً .
بصوت اعلى، لو سمحت.	بصوت أعلى ، من فضلك .
بغيت أأجر ألواح تزلج على الماي.	أريد تأجير بعض الزلاجات المائية .
