بدي بلوفر للأطفال .	أريد حجز غرفتين مزدوجتين .
مرحبا، هاد روي؟	هل يشمل رسم الخدمة ؟
أكيد . خليني أشوف . اتوقع انو المرجان آذاك .	سنكون في انتظارك في ذلك اليوم .
بتقدر تنزلني عند أوتيل الهيلتون، لو سمحت؟	هل يمكنك أن تغير هذه الفاتورة التي بخمسين دولار إلى عشر فواتير كل واحدة بخمسة دولارات ؟
حبيت خدمة الترحيب بالشامبانيا بعد ما نركب. بصحتك.	هل علي أن أحصل على التأمين ؟
ما بتوقع هاي السكينة نظيفة. بتقدر تجيبلي وحدة تانية؟	ليس ضرورياً بعد توقف الألم .
ممكن تكبس كبسة التصوير؟	دعنا نذهب لتناول شراب .
بدي أبعت هاي الشناط لطوكيو، لو سمحت.	هذا كل شيء لهذا الحين . بكم أدين لك ؟
من وين بقدر اشتري بطاقة تلفون؟	أود بعض الأدوية لعسر الهضم .
بشكرك من كل قلبي.	أود الحصول على واحدة كبيرة .
قديش عمر بنتك؟	من فضلك أخبريه أنت يامادا قد اتصل .
ضربة كويسة . بس برا .	نعم ، عندي كرتونتان .
بدي غلاية مي.	شكراً يا سيدي .
بتقدر تضيق هاد البنطلون؟	أنا على الطريق السريع الأول ثمانين بالقرب من مخرج بيركيلي .
هه. صباح الخير بتوقيتك. أوكي.	دعني أري ذلك ، نعم ـ اليوم يوجد غذاء خاص سوف يقدم سريعاً .
شو الماركات اللي عندك؟	يا له من شيء غريب . إنه يبدو كطبق طائر في السماء .
اتوقع انو مبالغ فيه .	أعطني تعليمات .
العشرة دولار رح يكفو بالتكسي؟	أعاني بشكل مزمن من الربو .
بدي شنتة كيلي لون احمر نفس ستايل هاي.	أرغب في بعض السجق ، من فضلك .
تسعين دولار لتذكرة اتجاه واحد. كاش و لا بطاقة؟	هل لديك هذا بلون احمر ؟
محفظة فيها مية دولار وبطاقتين إئتمان.	هذه آخر إضافة لنا لخط التعبئة . نحن نعبء حوالي ستمائة صندوق كل يوم .
بالآخر ما حبيت اللون. ممكن أرجع هاد؟	لقد أمضيت وقتاً ممتعاً اليوم .
يا بتصلحه يا بتبدله، لو سمحت.	فقدت حقيبتي .
بتقدر تحكيلي تكلفة هاي المكالمة؟	لم تعجبني هذه الحجرة . هل من الممكن أن أرى حجرة أخرى ؟
ليش هيك صار؟	خمسة وثمانين بنساً .
عامل الصيانة قرب يوصل.	من فضلك . دُلني على مطعم معقول يهيئ جواً جميلا .
حاس حالي مش منيح . بقدر اثني كرسيي ؟	واحد كوكاكولا صغير من فضلك .
شو التذكار التقليدي من هاوااي؟	عندما تصل هناك أسأل شخص آخر ، من فضلك .
هي أول سفرة الي لباريس.	أغلقت على المفتاح بداخل الغرفة .
مش مهم، على كل حال، لو سمحت خذني للقرية الصينية، رح احاول الاقيه لحالي .	هل يوجد ملعب تنس بالقرب من هنا ؟
شكرا. قديش هدول الكفوف؟	كم تبلغ رسوم هذه الخدمة ؟
روح دغري، لو سمحت .	هل أستطيع تناول غذائي الآن ؟
طيب ليش؟	هل رأيت ذلك ؟
بدي إياك تعملها أقصر بإنش واحد من هون.	أريد بعض الطماطم , من فضلك .
ما في كهربا.	سوف أعاود مرة ثانية بالباقي لك .
من الصبح.	إنه واسع جداً عليّ . أرني مقاساً أصغر من فضلك .
فرجيني واحد لصبية.	أنا حساس للمضادات الحيوية .
كان مسلي .	حسناً ، أود أن أجرب النبيذ الأبيض .
وقف على اتقاطع الجاي .	لا عليك أن توقظني للوجبات .
بدها تشتري فستان.	إنها بنهاية الممر الموجود بالطابق السابع . أركب المصعد الموجود على يمينك من فضلك .
لو سمحت . بقدر امر؟	هل يمكنك أن تحضر لي بعض الماء . فأنا ظمآن جداً .
خليك ماشي دغري لتلاقي صيدلية.	نريد مائدة بجانب النافذة .
طيب، يلا نروح. أنا بقدر أساعدك بحل واجبك بعد ما ناكل شوية بيتزا.	هل تشعر بصداع ؟
لو سمحت . بتعرف نيويرك منيح؟	من فضلك أجعل لي كرسي بجانب الممر في المنتصف .
ساعتي. كانت رقمية جديدة صناعة سويسرية .	كم سعر تأجير هاتف محمول وباجر ؟
من أصل مية.	هل يمكننا ترك أشياءنا ما عدا الأشياء القيمة في الحافلة ؟
ممكن أحجز خمس مقاعد جنب بعض بنفس الصف؟	هل لى بفوطة حمام ؟
وين بقدر أرجع هاي التزكرة؟	الشعب المرجانية جميلة هنا والتيار لطيف بالمقارنة .
ليش هيك صار؟	خمسة وثمانين بنساً .
ستار وورز كانت أفضل فيلم في سنة ألف و تسعمية و أربعة و تمانين.	هل قررت بعد ؟
على أوتيلي، لو سمحت. هي عنوان الأوتيل.	سأعود يوم خمسة وعشرين مارس .
طاولة بدون تدخين، لو سمحت.	خطف محفظتي وجرى بعيداً .
مش حاسس حالي منيح.	ل , ا أريد فقط الزيارة بدون ميعاد .
بتقدر تحط هاي الشنتة بشنتة السيارة؟	إذا سأل أحد عني فأخبره بأني سوف أكون بالمقهى .
ما حجزت .	أود أن آخذ درساً للتزلج على الجليد .
بشكرك من جوات قلبي .	أود الحصول على واحدة كبيرة .
شو إسم الرسام؟	أين يمكن أن أقوم بمشترياتي ؟
أنا معي حوالي ألفين وخمسميت دولار بالين الياباني.	أيمكنني أن أذهب هناك بمترو الأنفاق ؟
الخطوط الجوية اليابانية، رحلة الطيران رقم واحد اتنين تلاتة.	عيني محمرة قليلا .
امي و أختي جايين من اليابان يشوفوني. رح يوصلو هون بحدود الساعة سبعة المسا.	هل آلة أشعة إكس تؤثر على الفيلم ؟
أنا انكسرت شوكتي. لو سمحت جبلي وحدة تانية.	مرحباً هاري . أشكرك على دعوتك لنا .
حجوزات الساعة سبعة، بإسم مانو.	أريد أن استأجر سيارة .
لازم ادفع رسوم كمان بس افوت على المبنى؟	لا بد وأنها كانت صدمة كبيرة لك .
مسا الخير، مرحبا .	أريد أن أغادر يوماً قبل الميعاد .
في اي مكان ممكن الغسيل فيه ايام الاحد؟	سأتصل به مرة أخري الرابعة بعد الظهر .
من أي مطار رح أطلع؟	إنه مريض . من فضلك استدعي طبيبا له .
الحكومة بتدعم ترقية الصناعات.	هل أنت هنا للعمل أم للبحث ؟
شكلو منيح.	استدعى فريق الإنقاذ من فضلك .
لما توصل، رح ندفع ونبعتلك ياه على عنوان بيتك.	لقد سُرقت محفظتي .
أنا بعمل هايكنج.	أين يمكنني شراء أطباق ؟
انا جاهز حتى اطلب .	هل يمكن أن أترك هذه العربة خارج الردهة ؟
لازم أعمل إتصال. الروحة على بوسطن.	أنا من فرنسا .
هلا . هاي الرسمة كثير خاصة. رسمها تسوروتارو كاتاوكا. معروف كفنان بكل العالم.	معذرة ، لقد أغلقت الباب وأنا بالخارج ، هل من الممكن أن أحصل على مفتاح أخر ؟
متى لازم آجي هون؟	يالها من عملية لاستئصال الزائدة الدودية ؟
مش ملاقي الكاميرا .	من فضلك اذهب فى الاتجاه المستقيم .
بحب خدمة الترحيب بالشامبانيا بعد ما نطلع. بنخب صحتك.	هل علي أن أحصل على التأمين ؟
غالية شوي . بتقدر تعطيني استراحة؟	كيف أصل إلى المطعم ؟
ايمتا بنقدر نسجل خروج؟	نريد أن نجرب الطعام المحلي .
بتقدر تعطيني طابع بخمسة و تسعين سنت؟	شيء خطأ مع حقيبتك .
نعم، هو. بس لازم تروح يسار من عند الاشارة التالتة وتضلك بنفس الشارع لعند ما توصل طريق ستة وستين.	لدي زجاجة ويسكي .
اذا الرياح مش كثير قوية، بنقدر نروح لتيكي بوينت.	لماذا إذاً ؟
ما بتقدر تشوف فيلم ثاني؟	أليس باستطاعتك أن تعطيها لي مقابل سعر أقل ؟
لو سمحت خلي الطاولة مع منظر حلو الليلة .	ما هي الخمر التي تنصح بها مع هذا الطبق ؟
وأنا نفس الاشي، لو سمحت.	حسنا , دعني أتثبت من المفقود والموجود . أي نوع من الكاميرات هي ؟
بدي اأمن على اشيائي الغالية بخزنة الفندق.	أريد كتاب في قواعد اللغة .
ممكن تيجي هون عشان اتصلحه؟	أريد شيء من أجل الإمساك .
بكون مبسوط. أي ساعة بتحب؟	مائدة بجوار النافذة من فضلك .
بقدر اروح اشوف معالم المدينة ما دام السفينة بالمينا؟	اسمي تسونيو سوزوكي . هاهو تأكيد الحجز الخاص بي .
بالغين ثنين و طفلين، لو سمحت .	هل تتناول أي أدوية أخري ؟
ما عندي موعد، بس الاشي مستعجل.	من فضلك احضر إلى مرطب شعر .
رحلة طيران دلتا رقمها تمنية وعشرين لنيو أورليانز حتتأجل ساعة تقريباً.	عذراً . هل يمكن أن تملأها بانتظام ، من فضلك ؟
بدي شوية جرابات.	بعد أن هاجمني ، هرب في شاحنة بيضاء .
فهمت. صراحة، فيه فيلم سرعته عالية. بقدر أقيمو؟	الشيء نفسه لي ، من فضلك .
بشو متخصص هدا المطعم؟	تشمل تأمين ضد التصادم والدين .
بتقدر تخليه يرجع يتصل علي؟	معظم اليابانيين يأكلون الأخطبوط والحبار .
شو وجهة النظر.	كيف أملئ هذه ؟
هاد القطار بروح مباشرة على إيدنبرا؟	استمر يا سيدي .
لازم علي أدفع حق البنزين؟	سمعت أنا السيد يامادا عنده ولدان .
ايمتا بنبدا؟	افضل أن لا ادخل المستشفى , لو أمكن .
اه، مفتوح من التسعة للتسعة .	أين يأكل الناس المحليين عادة ؟
عندك من نفس التصميم كعب اعلى؟	لقد لحق هذا الضرر بالسيارة قبل أن أستأجرها .
بدي تضل تحت المية و ثمانين دولار .	يجب أن لا تكون طويلة . خمسة عشر دقيقة في الأغلب .
خليك ماشي بالممر، بعدين بتلاقيه على اليمين.	هل سأكون قادراً على الحصول على الأشياء المكتوبة في القائمة من السوبر ماركت أم احتاج إلى الذهاب إلى الصيدلية أيضاً ؟
بدي شاي، لو سمحت .	من أي مكان في اليابان أنت ؟
هوه دائم؟	تذكرتان ذهاب إلى واشنطن دي سي العاصمة ، من فضلك .
هل احنا محتاجين نحطه للتصويت؟ اذا لأ، بتوقع أنه وصلنا للنتيجة، اللي راح أبعتها لمجلس ادارتنا بكرا الصبح.	حسنا .
هاد تخصصنا، دوفر سول مشوي .	أين المشكلة ؟ من فضلك اشرح .
عندك مخط ملون؟	احتاج لبعض مشابك الغسيل .
