متهيئلى ده عالي شوية بالنسبالي.	أود حجز رحلة عودة .
عايز درس خصوصي .	أريد درسا خصوصياً .
فين الطرقة؟	أين اللوبي ؟
اى خط رايح ماديسون سكوير؟	أي خط لميدان ماديسون ؟
طبعاً. إحنا هنبقى مبسوطين ان إحنا نعمل كدة.	حسنا ، أعتقد أن سعر الصرف يتقلب بين توقعات بالارتفاع والانخفاض عموما .
ممكن توريلي حاجة على مقاسي؟	هل تستطيع أن تريني شئ ما على مقاسي ؟
أنا هستنى لغاية ماالبلكون تفضى.	أريد لعبة لبنت عمرها خمس سنوات .
مش ممكن تتكلم دلوقتي مع البلد اللي بتتصل بيها . من فضلك حاول تتصل بعدين .	إن اتصالك بالبلد الذى تحاول الاتصال به لا يمكن إتمامه الآن . من فضلك حاول الاتصال فى وقت لاحق .
ممكن تحزن شنطي لحد ما امشي من الفندق؟	هل لك أن تحفظ لي أمتعتي حتى موعد المغادرة ؟
انا فعلا بأحبه .	أحبه فعلاً .
أنا عندي تلاتة أطفال.	عندي ثلاثة أطفال .
عاوز واحد نفس ده ده، لو سمحت.	أريد نفس الشيء ، من فضلك .
تتصل بيه بكرة الصبح زي ما وعدت؟	هل يمكنك الاتصال به في صباح الغد كما وعدت ؟
شطبنا فعلا .	لقد نفد منا للتو .
ده مشوار مشي كتير؟	هل هي مسافة طويلة للمشي ؟
إيه هي المعالم اللي على الطريق؟	ما هي النقط الإشارية التي بالطريق ؟
أه، إنت تقدر تقف فى أى محطة بين هنا وشيكاجو.	لدينا مقاس ثمانية فقط الآن .
لم تنزل بالسلم تحت، هتلاقي المكتب على طول.	استقل المسعد هابطا ، وستجد المكتب هناك مباشرة .
أنا عاوز شعرى يتظبط زى ما كان.	أنا مدبرة منزل .
رجلي بتوجعني.	قدمي تؤلمني .
مين المصصمين بتوعك؟	من المصممون ؟
انا عايز هامبرجر، بطاطس محمرة و ليموناده .	أريد هامبورجر وبطاطس مقلية وعصير ليمون .
إزاي أروح هناك؟	كيف أصل إلى هناك ؟
ممكن آخد اسمك لو سمحت؟	ممكن أعرف اسمك من فضلك ؟
ممكن تقوللي ازاي اعمل مكالمة تليفون؟	هل لك أن تخبرني كيف أجرى مكالمة تليفونية ؟
ممكن تديني تخمين عن التكلفة؟	هل لك أن تعطيني تقديراً بالتكلفة ؟
انا من طوكيو .	أنا من طوكيو .
هو ده نهاية الانحدار؟	ذلك الحد الأدنى للسعر .
تمام، بس مش البينشات المكشوفة. حر أوى النهاردة.	إنها مبهرجة جدا .
ممكن اساعد بأى طريقة؟	هل يمكنني المساعدة بأي وسيلة ؟
تذكرة واحده، من فضلك .	تذكرة واحدة , من فضلك .
لأ، مش رحتش لنيويورك .	لا , لم أذهب إلى نيويورك .
عايز أشتري حاجة من الحاجات المميزة اللي عندك.	أريد أن أشتري اثنين من بضائعكم الإقليمية المميزة .
هى في الاوكازيون دلوقتي؟	هل يسري التخفيض الآن ؟
آخد المترو منين؟	أين أجد مترو الأنفاق ؟
ممكن انكم تدوني خصم؟	هل يمكن أن تعطني خصماً .
عندكم شويه نضاف؟	هل عندكم أي منها نظيف ؟
ايوه، عندنا تسعة و تسعين صنف وجبات .	نعم ، عندنا تسعة وتسعين نوعاً من الوجبات الخفيفة .
عايز الغي ميعادي مع مستر ايه .	أود إلغاء موعدي مع السيد إيه ؟
ما عملتش تليفونات .	لم أجر أي مكالمات تليفونية .
ممكن نستنى تربيزة؟	هل لنا أن ننتظر مائدة ؟
حاخد اوضه بخمستاشر دولار .	سآخذ غرفة غرفه بخمسة عشر دولارا .
"لسه عندك تذاكر ""بيج ريفر"" النهاردة بليل؟"	هل مازال معك تذاكر إلى بيج ريفر لهذه الليلة ؟
من فضلك عايز كورس اقدر اخلصة في اسبوع .	من فضلك اعطني تصريحاً سارياً لمدة أسبوع .
فيه سوق قريب من هنا؟	هل يوجد سوق بالقرب من هنا ؟
غيرلي اوضتي، من فضلك .	غيـّـر غرفتي , من فضلك .
هاخد تلتمية جرام من ده.	سآخذ ثلاثمائة جرام من هذا .
ممكن تنزلي شنطي عالساعة سبعة الصبح؟	هل يمكن أن تحضر أمتعتي أسفل عند السابعة صباحاً ؟
واحد من مية.	هل يمكننا ترك أشياءنا ما عدا الأشياء القيمة في الحافلة ؟
ممكن تقوللي لما نوصل، لو سمحت؟	هلا أخبرتني عندما نصل إلى هناك ؟
مش ضروري بعد ما الوجع خلص .	ليس ضرورياً بعد توقف الألم .
لازم اروح السفارة الياباني .	لابد أن أتجه إلى السفارة اليابانية .
ايوة، انت لازم تشرب مشروب على الاقل.	من فضلك سجل اسمك قبل تسعة صفر تسعة صباحا .
فين بتخطط تتفسح في البلد ديه؟	ما الأماكن التي خططت لزيارتها في هذا البلد ؟
دول سبعين دولار.	هذه سبعون دولار .
عايز احجز ميعاد عالساعة عشرة الصبح .	أريد تحديد موعد في العاشرة صباحاً .
عايزبن اوضه بواجهه بحرية .	نريد غرفة تطل على الشاطئ .
اكيد، و ادي المسطرده .	بالتأكيد ، ها هي عجينة الخردل .
من فضلك حطه فى شنطة غسيل وسيبه هناك.	هل يمكن أن ترسلها إلى عنواني في اليابان عن طريق بريد الطرود الدولي وتحصل الثمن من هناك ؟
أنا عايز وقت أكتر عشان أشحن.	أريد مزيد من الوقت لكي أجهز حقائبي .
كراسينا بعاد عن بعض.	أريد هذه .
لو اشتريت دة كمان، دة هيعمل كمية من غير رسوم جمركية.	يبدو أن كاميراتي كسرت . هل يمكنك إلقاء نظرة عليها ؟
إنت مخطط إنك تبدأ تبيع منتجاتك في أمريكا؟	هل تخطط للبدء في بيع منتجاتك في الولايات المتحدة ؟
فيه عندك اكل مش حراق او مشطشط؟	ألا يوجد طعام متبل وليس حارا جدا ؟
