هو هنوك، بالضبط قدام مكتب المعلومات السياحيي.	هناك ، أمام بيانات السائح تماما .
موجود هناك، بالضبط مقابيل مكتب المعلومات السياحية.	هناك ، أمام بيانات السائح تماما .
ما سامع بهذا العنوان هنا ابد.	لم اسمع بهذا العنوان من قبل بالقرب من هنا .
ابد ما كن اسمعتو بهذا العنوان هوني.	لم اسمع بهذا العنوان من قبل بالقرب من هنا .
عمري ما سامع بهيج عنوان بهل المنطقة.	لم اسمع بهذا العنوان من قبل بالقرب من هنا .
امشي كبل الى ان اتشوف صيدليه.	استمر في السير في هذا الطريق حتى تجد صيدلية .
اطلع كبل لحد ما تشوف الصيدلية.	استمر في السير في هذا الطريق حتى تجد صيدلية .
ابيش الريوك؟	كم تكلفة الإفطار ؟
بشقد التغيوقه؟	كم تكلفة الإفطار ؟
شكد يكلف الريوك؟	كم تكلفة الإفطار ؟
شلون اكدر اساعدك؟	كيف أستطيع مساعدتك ؟
اشون اطيق اساعدك؟	كيف أستطيع مساعدتك ؟
شلون اكدر اساعدك؟	كيف أستطيع مساعدتك ؟
اخذ يسرة يم ثالث ركن.	اتجه يسارا عند الناصية الثالثة .
غوح لليساغ عد ثالث زاويه.	اتجه يسارا عند الناصية الثالثة .
اخذ يسره ثالث زوية.	اتجه يسارا عند الناصية الثالثة .
تريد كريمة وشكر بكهوتك؟	هل تحب أن تضع قشدة وسكر في قهوتك ؟
اتغيذ كريمه وشكر بالقهوي مالتك؟	هل تحب أن تضع قشدة وسكر في قهوتك ؟
تحب اخليلك كريم وشكر بالكهوة مالتك؟	هل تحب أن تضع قشدة وسكر في قهوتك ؟
تكدر تصرف صك الميتين دولار مالتي؟	هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟
تطيق تصرفلي شيك قيمتو ميتين دولار؟	هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟
ممكن تصرفلي الصك مالتي أبو الميتين دولار؟	هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟
اذا لازم يبين، خابرني بلا زحمة.	إذا حدث ذلك ، من فضلك أتصل بي .
اذا لازم يبين، رجاءا اتصل بيي.	إذا حدث ذلك ، من فضلك أتصل بي .
اذا صار شي، رجاءً اتصل بيه.	إذا حدث ذلك ، من فضلك أتصل بي .
وين صايره الكهوة؟	أين المقهى ؟
اريد سترة جهال.	أريد جاكيت للأطفال .
