موجود هنيك، قدام مكتب معلومات السياح بالزبط.	هناك ، أمام بيانات السائح تماما .
صار هونيك، بالظبط قدام مكتب استعلامات السياح.	هناك ، أمام بيانات السائح تماما .
هو هنيك، قدام معلومات السياح بالضبط.	هناك ، أمام بيانات السائح تماما .
بعمري ما سمعت بهالعنوان هون .	لم اسمع بهذا العنوان من قبل بالقرب من هنا .
مالي سمعان من قبل بهالعنوان هون.	لم اسمع بهذا العنوان من قبل بالقرب من هنا .
إمشي مباشرة لحد ما تشوف صيدلية.	استمر في السير في هذا الطريق حتى تجد صيدلية .
روح دغري لحتى تشوف صيدلية.	استمر في السير في هذا الطريق حتى تجد صيدلية .
روح ساوي لبين ما تشوف صيدلية.	استمر في السير في هذا الطريق حتى تجد صيدلية .
بأديش الفطور؟	كم تكلفة الإفطار ؟
أدي حق الترويقة؟	كم تكلفة الإفطار ؟
بشقد الفطور؟	كم تكلفة الإفطار ؟
كيف فيني ساعدك؟	كيف أستطيع مساعدتك ؟
شلون بقدر أساعدك؟	كيف أستطيع مساعدتك ؟
لف عالشمال بالدخلة التالتة.	اتجه يسارا عند الناصية الثالثة .
روح شمال عالزاوية التالتة.	اتجه يسارا عند الناصية الثالثة .
بتحب كريما وسكر مع القهوة؟	هل تحب أن تضع قشدة وسكر في قهوتك ؟
عبالك كريمة و سكر بقهوتك؟	هل تحب أن تضع قشدة وسكر في قهوتك ؟
بتريد كريمة وسكر بقهوتك؟	هل تحب أن تضع قشدة وسكر في قهوتك ؟
ممكن تصرفلي هاد الشيك بقيمة ميتين دولار؟	هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟
فيك تصرفلي الشيك تبعي تبع المتين دولار؟	هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟
إذا لازم يبين، عمل معروف دقلي.	إذا حدث ذلك ، من فضلك أتصل بي .
وين القهوة؟	أين المقهى ؟
وين الكافيه؟	أين المقهى ؟
بدي كنزة أطفال.	أريد جاكيت للأطفال .
بدي كنزة للولاد.	أريد جاكيت للأطفال .
بدي كنزة اطفال.	أريد جاكيت للأطفال .
أوك. هاد بكلف خمسة وتمانين سنت بالبريد العادي وزيادة تلاتة دولار بالظبط للتوصيل الخاص.	حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .
أوك، بيكلف خمس و تمانين سنت للإيميل العادي و تلاتي دولار بالظبط زيادة للتوصيل الخاص.	حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .
ممكن واجه صعوبة مع الجمارك؟	هل لديك أحذية حريمي عند أصابع القدم ؟
رح يكون في شي صعوبات مع الجمارك؟	هل لديك أحذية حريمي عند أصابع القدم ؟
بلاقي عندك حذاء رسمي للرجلين العراض؟	هل ستواجهني أية صعوبات في الجمارك ؟
عندك صبابط رسمي تبع الأصابيع العراض؟	هل ستواجهني أية صعوبات في الجمارك ؟
عندك حذاء رسمي عريض؟	هل ستواجهني أية صعوبات في الجمارك ؟
لاء . بد هيك فيي إقترح أوضة بتختين لإستخدام شخص؟ عنا واحدة.	لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .
لا. ممكن أقترح وحدة مزدوجة للاستعمال المفرد بدالها؟ في عنا وحدة.	لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .
بدي كيرلي ضيق، إذا بتريد.	أريد تمويج متقارب لشعري ، من فضلك .
بدي كيرلي قوي، إذا ممكن.	أريد تمويج متقارب لشعري ، من فضلك .
بدا بيرة .	هي تريد بيرة .
صباح الخير. كيفك؟	صباح الخير . كيف حالك .
صباحو . كيفك؟	صباح الخير . كيف حالك .
صباح الخير. شلونك؟	صباح الخير . كيف حالك .
للأسف أنا مضطر إني شوف شي بيثبت الهوية.	أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .
للأسف محتاج اشوف أي اثبات شخصية.	أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .
أي نوع صوص؟	أي نوع من الملابس ؟
