city	dialect	source	target
Doha	Emirati	في اثنعش فريق بيسبول محترف في اليابان.	هناك اثنا عشر فريقا للبيسبول في اليابان .
Aswan	Egyptian	متهيئلى ده عالي شوية بالنسبالي.	أود حجز رحلة عودة .
Cairo	Egyptian	عايز درس خصوصي .	أريد درسا خصوصياً .
Doha	Emirati	شوي حر.	إنه حار نوعاً ما .
Salt	Jordanian	بدي بلوفر للأطفال .	أريد حجز غرفتين مزدوجتين .
Cairo	Egyptian	فين الطرقة؟	أين اللوبي ؟
Salt	Jordanian	مرحبا، هاد روي؟	هل يشمل رسم الخدمة ؟
Doha	Emirati	مية وعشرين مليون شخص في ارض مساحتها ثلاثمية وثمانين الف كيلومتر مربع؟	مائة وعشرين مليون شخص في أرض مساحتها ثلاثمائة وثمانين ألف كيلو متر مربع ؟
Cairo	Egyptian	اى خط رايح ماديسون سكوير؟	أي خط لميدان ماديسون ؟
Doha	Emirati	متى نلتقي؟	متى نلتقي سوياً ؟
Doha	Emirati	عندك واحد كحلي؟	هل لديك واحدة لونها أزرق داكن ؟
Aswan	Egyptian	طبعاً. إحنا هنبقى مبسوطين ان إحنا نعمل كدة.	حسنا ، أعتقد أن سعر الصرف يتقلب بين توقعات بالارتفاع والانخفاض عموما .
Doha	Emirati	اسحب من حسابي، لو سمحت.	قيد في حسابي الآن ، من فضلك ؟
Cairo	Egyptian	ممكن توريلي حاجة على مقاسي؟	هل تستطيع أن تريني شئ ما على مقاسي ؟
Doha	Emirati	محد تعور واجد.	لم يصب أحد إصابة خطيرة .
Salt	Jordanian	أكيد . خليني أشوف . اتوقع انو المرجان آذاك .	سنكون في انتظارك في ذلك اليوم .
Doha	Emirati	مشكور. يالله. خل نروح.	شكراً جزيلاً . هيا . دعنا نذهب .
Aswan	Egyptian	أنا هستنى لغاية ماالبلكون تفضى.	أريد لعبة لبنت عمرها خمس سنوات .
Cairo	Egyptian	مش ممكن تتكلم دلوقتي مع البلد اللي بتتصل بيها . من فضلك حاول تتصل بعدين .	إن اتصالك بالبلد الذى تحاول الاتصال به لا يمكن إتمامه الآن . من فضلك حاول الاتصال فى وقت لاحق .
Cairo	Egyptian	ممكن تحزن شنطي لحد ما امشي من الفندق؟	هل لك أن تحفظ لي أمتعتي حتى موعد المغادرة ؟
Doha	Emirati	بغيت جنجر إيل.	أحب تناول جعة الزنجبيل .
Cairo	Egyptian	انا فعلا بأحبه .	أحبه فعلاً .
Doha	Emirati	بصوت اعلى، لو سمحت.	بصوت أعلى ، من فضلك .
Doha	Emirati	بغيت أأجر ألواح تزلج على الماي.	أريد تأجير بعض الزلاجات المائية .
Jerusalem	Palestinian	بتقدر تنزلني عند أوتيل الهيلتون، لو سمحت؟	هل يمكنك أن تغير هذه الفاتورة التي بخمسين دولار إلى عشر فواتير كل واحدة بخمسة دولارات ؟
Doha	Emirati	الاجهزة الكهربائية واجد رخيصة، بس الاكل ومصاريف السكن واجد عالية.	الأجهزة الكهربائية رخيصة جداً , لكن مصاريف الأكل والسكن مرتفعة جداً .
Cairo	Egyptian	أنا عندي تلاتة أطفال.	عندي ثلاثة أطفال .
Cairo	Egyptian	عاوز واحد نفس ده ده، لو سمحت.	أريد نفس الشيء ، من فضلك .
Cairo	Egyptian	تتصل بيه بكرة الصبح زي ما وعدت؟	هل يمكنك الاتصال به في صباح الغد كما وعدت ؟
Doha	Emirati	مابغي هالغرفة. عندك شي احسن؟	لا أريد هذه الغرفة . هل لديك غرفة أفضل منها ؟
Cairo	Egyptian	شطبنا فعلا .	لقد نفد منا للتو .
Doha	Emirati	عندك وقت؟	هل عرفت الموعد ؟
Jerusalem	Palestinian	حبيت خدمة الترحيب بالشامبانيا بعد ما نركب. بصحتك.	هل علي أن أحصل على التأمين ؟
Cairo	Egyptian	ده مشوار مشي كتير؟	هل هي مسافة طويلة للمشي ؟
Cairo	Egyptian	إيه هي المعالم اللي على الطريق؟	ما هي النقط الإشارية التي بالطريق ؟
Alexandria	Egyptian	أه، إنت تقدر تقف فى أى محطة بين هنا وشيكاجو.	لدينا مقاس ثمانية فقط الآن .
Jerusalem	Palestinian	ما بتوقع هاي السكينة نظيفة. بتقدر تجيبلي وحدة تانية؟	ليس ضرورياً بعد توقف الألم .
Salt	Jordanian	ممكن تكبس كبسة التصوير؟	دعنا نذهب لتناول شراب .
Doha	Emirati	عطني ستيك لحم الخنزير هذي، بس مابغيه متين جذي.	أعطني قطعة لحم الخنزير هذه ، ولكن ليس بسمك تلك .
