هوذاك هاناك، قبال مكتب المعلومات السياحيه بالضبط.	هناك ، أمام بيانات السائح تماما .
ماقد سمعتش ابدا بهذا العنوان هانا.	لم اسمع بهذا العنوان من قبل بالقرب من هنا .
امشي طوالي لوما تبسر صيدليه.	استمر في السير في هذا الطريق حتى تجد صيدلية .
بكم هو الصبوح؟	كم تكلفة الإفطار ؟
كيف اقدر اساعدك؟	كيف أستطيع مساعدتك ؟
اخطى يسار عند الركن الثالث.	اتجه يسارا عند الناصية الثالثة .
تشتي كريمه وسكر في القهوة؟	هل تحب أن تضع قشدة وسكر في قهوتك ؟
اين هو الكافيه؟	أين المقهى ؟
أشتي سترة أطفالي.	أريد جاكيت للأطفال .
تمام. يكلف خمسه وثمانين سنت للبريد العادي و ثلاثه دولار بالضبط زياده للتوصيل الخاص.	حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .
هل شا اواجه مشاكل مع الجمارك؟	هل لديك أحذية حريمي عند أصابع القدم ؟
لا. ممكن اقترح عليك غرفة مزدوجة ل استخدام فرد بدله؟ عندنا واحدة.	لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .
اشتي تجعيد قوي، لو سمحت.	أريد تمويج متقارب لشعري ، من فضلك .
هي تشتي بيره.	هي تريد بيرة .
صباح الخير. كيف حالك؟	صباح الخير . كيف حالك .
أسف مضطر اطلب منك تبرز اي شي يثيت هويتك.	أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .
ما هو نوع الصوص؟	أي نوع من الملابس ؟
أنا بخير. لكن ممكن تتصل لصاحبي؟	أنا بحالة جدية ، لكن هل تمانع في الاتصال بصديق ؟
من هو أعز أصحابك؟	من هو أفضل صديق لك ؟
يوم الصحة والرياضه عشره اكتوبر هو اجازه وطنيه عملوها عسب يشجعو الناس يهتمو بصحتهم.	يوم الصحة الرياضية هو يوم العاشر من أكتوبر وهو إجازة قومية الغرض منها تحسين صحة المواطنين .
عتقدر تساعدني القى شنطتي؟	هل لك أن تساعدني في الوصول إلى حقيبتي ؟
به احد بيساعدني. شكرا.	تقدم إلىّ المساعدة ، شكراً لك .
لوما قدك هناك، اسال احد ثاني، لو سمحت.	عندما تصل هناك أسأل شخص آخر ، من فضلك .
هولا اثنين دولار. خلي الباقي.	تفضل هذان دولاران . احتفظ بالباقي .
كم ب تشل على العمليه؟	كم تتقاضى لتطبيع صور الفيلم ؟
احنا الأثنين نشتي ندفع حق وجباتنا.	كلا منا يريد أن يحاسب على وجبته .
الموقع كان فوق كرسي في اللوبي.	المكان كان على كرسي في البهو .
اشتي قاموس جيب، لو سمحت.	أريد قاموس جيب ، من فضلك .
لشخصين الساعه سبع. الاسم هو وطنابي.	لشخصين عند الساعة السابعة , الاسم وتاناب .
ساعتي. كانت سايكو رقميه.	ساعتي . كانت ساعة سيكو رقمية .
أين محل الهدايا؟	أين محل الهدايا ؟
ممكن منبه، لو سمحت.	أريد منبه ، من فضلك .
معظم اليابانيين ياكلو اخطبوط و حبار.	معظم اليابانيين يأكلون الأخطبوط والحبار .
ممكن تقطع تذكرتين درجه ثانيه ل شيكاغو، لو سمحت؟	هل يمكنني الحصول على تذكرتين درجة ثانية لشيكاغوا , من فضلك ؟
ماهو رقم الرحله؟	ما هو رقم الرحلة الجوية ؟
لحوالي ايام قليله.	لعدة أيام قليلة .
الثاني على اليسار.	الثاني من على اليسار .
هذا مكتب الاستقبال؟ به هانا عياده قريبه؟	هل هذا مكتب الاستقبال ؟ هل يوجد عيادة قريبة ؟
هذا طعمه غريب.	أنه ذو مذاق غريب .
أيوة. راعي، شا ادي لك واحده.	نعم . انتظر , سوف احضر لك واحدة .
نص القاروره، لو سمحت.	نصف زجاجة , من فضلك .
أنت بتدور على حاجه؟	هل تبحث عن شيء ما ؟
أربع ليالي.	أربع ليالي .
أشتي شويه شرابات.	أريد بعض الجوارب الرجالي .
