هو ذاك الصوب، بالضبط جدام استعلامات السياح بالضبط.	هناك ، أمام بيانات السائح تماما .
شوفه هناك، قدام مكتب المعلومات السياحية بالضبط.	هناك ، أمام بيانات السائح تماما .
هناك، بالضبط مقابل مكتب معلومات السياح.	هناك ، أمام بيانات السائح تماما .
اهو هناك، بالضبط جدام امام مكتب المعلومات السياحية.	هناك ، أمام بيانات السائح تماما .
ما قط سمعت بهالعنوان في هالمنطقة من قبل.	لم اسمع بهذا العنوان من قبل بالقرب من هنا .
ماقد سمعت بدا العنوان هنا.	لم اسمع بهذا العنوان من قبل بالقرب من هنا .
ما قد سمعت بهذا العنوان هنا.	لم اسمع بهذا العنوان من قبل بالقرب من هنا .
انا ماسمعت ابد بالهعنوان.	لم اسمع بهذا العنوان من قبل بالقرب من هنا .
امش سيده لين تشوف صيدلية.	استمر في السير في هذا الطريق حتى تجد صيدلية .
امشي سيدا لين ما تلاقي الصيدلية.	استمر في السير في هذا الطريق حتى تجد صيدلية .
امش على طول لين تلقى صيدلية.	استمر في السير في هذا الطريق حتى تجد صيدلية .
روح سيده حتى تشوف الصيدلية.	استمر في السير في هذا الطريق حتى تجد صيدلية .
بكم الفطور؟	كم تكلفة الإفطار ؟
بجم سعر الريوق؟	كم تكلفة الإفطار ؟
كيف أقدر اساعدك؟	كيف أستطيع مساعدتك ؟
كيف اقدر اساعدك؟	كيف أستطيع مساعدتك ؟
خذ ثالث لفة يسار.	اتجه يسارا عند الناصية الثالثة .
روح يسار عند الزواية الثالثة.	اتجه يسارا عند الناصية الثالثة .
لف يسار عند ثالث زاوية.	اتجه يسارا عند الناصية الثالثة .
سير يسار للتقاطع الثالث.	اتجه يسارا عند الناصية الثالثة .
بغيت سكر وكريمة في القهوة؟	هل تحب أن تضع قشدة وسكر في قهوتك ؟
تبا كريم وسكر في قهوتك؟	هل تحب أن تضع قشدة وسكر في قهوتك ؟
ودك بكريمة و سكر في قهوتك؟	هل تحب أن تضع قشدة وسكر في قهوتك ؟
تبا نحط لك كريم و سكر بالقهوة؟	هل تحب أن تضع قشدة وسكر في قهوتك ؟
ممكن تصرف لي قيمة جيكي بو ميتين دولار كاش؟	هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟
تقدر تصرف لي شيك المئتين دولار حقتي؟	هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟
هل تقدر تصرفلي شيك بمائتي دولار؟	هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟
اذا المفروض يصير، اتصل فيني.	إذا حدث ذلك ، من فضلك أتصل بي .
اذا لازم يظهر، اتصل عليا لو سمحت.	إذا حدث ذلك ، من فضلك أتصل بي .
اذا كان يجب ان يظهر، الرجاء الاتصال بي.	إذا حدث ذلك ، من فضلك أتصل بي .
اذا كان مفروض يبين، اتصل فيني لو سمحت.	إذا حدث ذلك ، من فضلك أتصل بي .
وين الكوفي شوب؟	أين المقهى ؟
فين المقهى؟	أين المقهى ؟
وين المقهى؟	أين المقهى ؟
بغيت فانلة يهال.	أريد جاكيت للأطفال .
أبا سترة اطفال.	أريد جاكيت للأطفال .
ابغى سترة للأطفال.	أريد جاكيت للأطفال .
أبغا سترة للأطفال.	أريد جاكيت للأطفال .
اوكي. يكلف خمسة وثمانين سنت بالبريد العادي وثلاث دولارات بالضبط زيادة حق التسليم الخاص.	حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .
اوك. يكلف خمسة وتمانين سنت للأيميل العادي وزيادة تلاتة دولار بالضبط للتوصيل الخاص.	حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .
