هناك، قدام مكتب ارشادات السياح على طول.	هناك ، أمام بيانات السائح تماما .
عمرى ما سمعت عن العنوان دة هنا.	لم اسمع بهذا العنوان من قبل بالقرب من هنا .
عمري ما سمعت عن العنوان ده هنا .	لم اسمع بهذا العنوان من قبل بالقرب من هنا .
انا عمرى ماسمعت عن العنوان ده هنا.	لم اسمع بهذا العنوان من قبل بالقرب من هنا .
امشى على طول لحد ما تشوف صيدلية.	استمر في السير في هذا الطريق حتى تجد صيدلية .
أمشي علطول لحد ما تلقي صيدلية.	استمر في السير في هذا الطريق حتى تجد صيدلية .
امشي على طول لغاية متشوف صيدلية.	استمر في السير في هذا الطريق حتى تجد صيدلية .
بكام الفطار؟	كم تكلفة الإفطار ؟
بكام الفطار؟	كم تكلفة الإفطار ؟
إزاى أقدر أساعدك؟	كيف أستطيع مساعدتك ؟
ازاي أقدر اساعدك؟	كيف أستطيع مساعدتك ؟
إزاي أقدر اساعدك؟	كيف أستطيع مساعدتك ؟
روح شمال عند الناصية الثالثة.	اتجه يسارا عند الناصية الثالثة .
امشي شمال لغاية الناصية التالتة.	اتجه يسارا عند الناصية الثالثة .
تحب كريمة وسكر فى القهوة بتاعتك؟	هل تحب أن تضع قشدة وسكر في قهوتك ؟
عايز كريمة وسكر على القهوة بتاعتك؟	هل تحب أن تضع قشدة وسكر في قهوتك ؟
ممكن تدفع الشيك بتاعى اللى بميتين دولار؟	هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟
ممكن تصرفلي شيك بميتين دولار؟	هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟
ممكن تصرفلى الشيك بتاعى بمتين دولار؟	هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟
لو المفروض يظهر، كلمنى لو سمحت.	إذا حدث ذلك ، من فضلك أتصل بي .
لو لازم يظهر، لو سمحت كلمني .	إذا حدث ذلك ، من فضلك أتصل بي .
لو المفروض يظهر، كلمني.	إذا حدث ذلك ، من فضلك أتصل بي .
فين الكوفى شوب؟	أين المقهى ؟
فين القهوة؟	أين المقهى ؟
فين الكوفي شوب؟	أين المقهى ؟
عاوز بلوفر أطفال.	أريد جاكيت للأطفال .
عايز بلوفر اطفال.	أريد جاكيت للأطفال .
أوكى. بيكلف خمسة و ثمانين سنت للإيميل العادى و ثلاثة دولار بالظبط زيادة للتوصيل الخاص.	حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .
اوكيه . ده بيكلف خمسه و تمانين سنت للبريد العادي أو زيادة تلات دولارات بالظبط للبريد المخصوص.	حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .
ماشي. هتكلف خمسة وتمانين سنت لو بالبريد العادي وتلات دولارات بالظبط زيادة لو بالتوصيل الخاص.	حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .
هلاقى أى صعوبة مع الجمارك؟	هل لديك أحذية حريمي عند أصابع القدم ؟
حالاقي مشاكل مع الجمارك؟	هل لديك أحذية حريمي عند أصابع القدم ؟
هو انا هلاقي اى صعوبة مع الجمارك؟	هل لديك أحذية حريمي عند أصابع القدم ؟
عندك شوز رسمية بوش واسع؟	هل ستواجهني أية صعوبات في الجمارك ؟
عندك جزم رسمي واسعه من قدام؟	هل ستواجهني أية صعوبات في الجمارك ؟
عندك جزم رسمية بوش عريض؟	هل ستواجهني أية صعوبات في الجمارك ؟
لأ. ممكن أقترح أوضة بسريرين لشخص واحد كحل بديل؟ إحنا عندنا واحدة.	لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .
لأ . ممكن انصح اوضة بسريرين يقعد فيها واحد بس؟ احنا عندنا واحده .	لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .
لا. بس ممكن اقترح بدل من كدة أوضة مزدوجة لاستخدام فرد؟ احنا عندنا واحدة.	لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .
عاوز كيرلي جامد، لو سمحت.	أريد تمويج متقارب لشعري ، من فضلك .
كنت عاوز كيرلى كويس، لو سمحت.	أريد تمويج متقارب لشعري ، من فضلك .
هى عاوزة بيرة.	هي تريد بيرة .
هي عايزة بيرة.	هي تريد بيرة .
صباح الخير. عامل إيه؟	صباح الخير . كيف حالك .
صباح الخير. عامل ايه؟	صباح الخير . كيف حالك .
للأسف هحتاج أشوف بطاقة تحقيق شخصية.	أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .
متأسف بس محتاج أشوف أى مستند اثبات شخصية .	أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .
