في اثنعش فريق بيسبول محترف في اليابان.	هناك اثنا عشر فريقا للبيسبول في اليابان .
شوي حر.	إنه حار نوعاً ما .
مية وعشرين مليون شخص في ارض مساحتها ثلاثمية وثمانين الف كيلومتر مربع؟	مائة وعشرين مليون شخص في أرض مساحتها ثلاثمائة وثمانين ألف كيلو متر مربع ؟
متى نلتقي؟	متى نلتقي سوياً ؟
عندك واحد كحلي؟	هل لديك واحدة لونها أزرق داكن ؟
اسحب من حسابي، لو سمحت.	قيد في حسابي الآن ، من فضلك ؟
محد تعور واجد.	لم يصب أحد إصابة خطيرة .
مشكور. يالله. خل نروح.	شكراً جزيلاً . هيا . دعنا نذهب .
بغيت جنجر إيل.	أحب تناول جعة الزنجبيل .
بصوت اعلى، لو سمحت.	بصوت أعلى ، من فضلك .
بغيت أأجر ألواح تزلج على الماي.	أريد تأجير بعض الزلاجات المائية .
الاجهزة الكهربائية واجد رخيصة، بس الاكل ومصاريف السكن واجد عالية.	الأجهزة الكهربائية رخيصة جداً , لكن مصاريف الأكل والسكن مرتفعة جداً .
مابغي هالغرفة. عندك شي احسن؟	لا أريد هذه الغرفة . هل لديك غرفة أفضل منها ؟
عندك وقت؟	هل عرفت الموعد ؟
عطني ستيك لحم الخنزير هذي، بس مابغيه متين جذي.	أعطني قطعة لحم الخنزير هذه ، ولكن ليس بسمك تلك .
ابغي احول كم ين ياباني للدولار الامريكي.	أريد تحويل الين الياباني إلى دولار أمريكي .
من مخرج الفلم؟	من مخرج الفيلم ؟
طوكيو صفر ثلاثة اثنين اربعة ستة صفر خمسة سبعة تسعة.	طوكيو صفر ثلاثة اثنان أربعة ستة صفر خمسة سبعة تسعة .
اي نوع صوص؟	أي نوع من الملابس ؟
تبغي قهوة او شاهي بعد الاكل؟	أتريد قهوة أم شاياً بعد الوجبة .
ابغي غرفة مزدوجة، لو سمحت.	أريد غرفة مزدوجة ، من فضلك .
لازم نفهمه.	يجب أن نفهمه .
ممنوع السباحة هني؟	ألا يسمح بالسباحة هنا ؟
يصير احجز خمس كراسي مع بعض في نفس الصفة؟	هل يمكن أن أحجز خمسة مقاعد في الصف نفسه .
اروح الصالون مرة كل ثلاث شهور.	أنا أذهب إلى مركز التجميل مرة كل ثلاثة أشهر .
كم مرة لازم اقول لك نفس الكلام؟	كم مرة يجب علىّ أن أعيد هذا الأمر على مسامعك ؟
عجبتني خدمة الترحيب بشامبين عقب ما نركب. خلني اشرب بصحتك.	أحب هذه الخدمة بتقديم شامبانيا للتحية بعد الإقلاع . دعني أشرب فى صحتك .
غير غرفتي، لو سمحت. ريحتها غريبة.	بدّلوا غرفتي ، من فضلكم . فهي تنبعث منها رائحة غريبة .
مافي فوط صغيرة واجد.	لا يوجد ما يكفي من قماش الحمام .
انا واجد عطشان. كاس كبير، لو سمحت.	أشعر بعطش شديد . أريد كوباً ضخما ، من فضلك .
وين الصيدلية؟	أين الصيدلية ؟
انا اقول حلق.	أحبذ حلق .
انتي حامل؟	هل أنت حامل ؟
قميصي معرق.	قميصي رائحته عرق .
انت واجد طيب.	أنت لطيف جداً .
الطرف الثاني على الخط.	الطرف الآخر على الخط .
مسامحة بس في غلط في الفاتورة.	أخشى أن يكون هناك خطأ في الفاتورة .
متى نهائيات دوري السلة الامريكي للمحترفين؟	متى نهائيات الدوري الوطني لكرة السلة ؟
الوحيدة اللي باقية عندنا لليوم هي جولة المدينة. الباقي كلهم في الليل.	الجولة الوحيدة الباقية لليوم هي جولة المدينة . كل الجولات الأخرى هي جولات ليلية .
هي ما تفهم انجليزي كلش.	إنها لا تفهم الإنجليزية مطلقا .
