هو هناك، بالظبط أمام مكتب معلومات السياح.	هناك ، أمام بيانات السائح تماما .
ما حصل سمعت بالعنوان دا هنا.	لم اسمع بهذا العنوان من قبل بالقرب من هنا .
أمشي دغري لغاية تشوف صيدلية.	استمر في السير في هذا الطريق حتى تجد صيدلية .
بي كم الفطور؟	كم تكلفة الإفطار ؟
كيف ممكن اساعدك؟	كيف أستطيع مساعدتك ؟
أمشي شمال عند الكورنة التالتة.	اتجه يسارا عند الناصية الثالثة .
داير كريمة و سكر في قهوتك؟	هل تحب أن تضع قشدة وسكر في قهوتك ؟
هل يمكنك تصرف شيكي البي متين دولار؟	هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟
اذا مفروض يظهر، من فضلك اتصل على.	إذا حدث ذلك ، من فضلك أتصل بي .
وين المقهى؟	أين المقهى ؟
داير بلوفر أطفال.	أريد جاكيت للأطفال .
ح أواجه أي صعوبات مع الجمارك؟	هل لديك أحذية حريمي عند أصابع القدم ؟
هل عندك جزمة رسمي عريضة عند اصابع القدم؟	هل ستواجهني أية صعوبات في الجمارك ؟
لا. ممكن اقترح غرفة مزدوجة لاستعمال شخص؟ عندنا واحدة.	لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .
داير تجعيدة ضيقة، من فضلك.	أريد تمويج متقارب لشعري ، من فضلك .
دايرة بيرة.	هي تريد بيرة .
صباح الخير. كيفك؟	صباح الخير . كيف حالك .
آسف ح احتاج اشوف اثبات هوية.	أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .
ياتو نوع من الصوص؟	أي نوع من الملابس ؟
دا بارد شوية. ممكن تسخنه؟	هذا بارد إلى حد ما . هل يمكن أن تقوم بتسخينه ؟
انا تمام. بس ممكن تتصل ب صحبى؟	أنا بحالة جدية ، لكن هل تمانع في الاتصال بصديق ؟
منو صحبك المفضل؟	من هو أفضل صديق لك ؟
هل انت دايرني اتحقق تحت غطا العربية؟	هل تريد أن افحص موتور السيارة ؟
هل ممكن تساعدني ألقى شنطتي؟	هل لك أن تساعدني في الوصول إلى حقيبتي ؟
هل ممكن تعمل ترتيبات مقدما؟	هل ستقوم بعمل الترتيبات مقدماً ؟
في زول بيساعدني. شكرا ليك.	تقدم إلىّ المساعدة ، شكراً لك .
لمن تصل هناك، اسأل زول تاني، من فضلك.	عندما تصل هناك أسأل شخص آخر ، من فضلك .
هامبرقر واحد و واحد بيرقر بالجبنة، من فضلك.	واحد هامبرجر وواحد شيز برجر ، من فضلك .
كم من السعر بتطلب للعملية؟	كم تتقاضى لتطبيع صور الفيلم ؟
الموقع كان في كرسي في اللوبي.	المكان كان على كرسي في البهو .
داير دكشنري مقاس جيب، من فضلك.	أريد قاموس جيب ، من فضلك .
لنفرين عند السابعة. الاسم واتانيبل.	لشخصين عند الساعة السابعة , الاسم وتاناب .
ساعتي. كانت سيكو ديجيتال.	ساعتي . كانت ساعة سيكو رقمية .
ح يكون متعتنا ان نخدمك بمشروب من اختيارك، مصحوب بي عشاء. دليل كامل من المشروبات البنوفرها في الرحلة دي موجودة في دليل المعلومة بتاع مجلتنا.	يسعدنا أن نقدم لك الشراب الذي تريده متبوعاً بالغداء . دليل كامل بالمشروبات التي نقدمها على رحلتنا موجودة في دليل المعلومات الخاص بمجلتنا .
معظم اليابانيين بياكلوا اخطبوط و حبار.	معظم اليابانيين يأكلون الأخطبوط والحبار .
ممكن اخد تذكرين درجة تانية الي شيكاغو، من فضلك؟	هل يمكنني الحصول على تذكرتين درجة ثانية لشيكاغوا , من فضلك ؟
مشيت نيويورك.	لقد ذهبت إلى نيويورك .
رقم الرحلة كم؟	ما هو رقم الرحلة الجوية ؟
دا مكتب الاستقبال؟ في عيادة قريبة؟	هل هذا مكتب الاستقبال ؟ هل يوجد عيادة قريبة ؟
هل عشرة دولارات كفاية للتكسي؟	هل عشرة دولارات ستكون كافية للذهب بالتاكسي ؟
أي. انتظر، بجيب ليك واحد.	نعم . انتظر , سوف احضر لك واحدة .
ما حقيقة. بس حاجة ما غالية.	ليس تماماً . فقط شيء ما غير غالي الثمن .
بتفتش لحاجة؟	هل تبحث عن شيء ما ؟
أربعة ليالي.	أربع ليالي .
ممكن تخليه ارخص لان هناك بعض البقع؟	هل تستطيع أن تخفض سعرها لوجود بعض البقع بها ؟
