أوكي غادي، قدام مكتب الإرشادات السياحية بالضبط.	هناك ، أمام بيانات السائح تماما .
اهوكا غادي، بالضبط قدام البيرو متاع الارشادات السياحية.	هناك ، أمام بيانات السائح تماما .
أنا منعرفش الادريسة هذه قريبة من هوني.	لم اسمع بهذا العنوان من قبل بالقرب من هنا .
عمري ما سمعت بالادريسة هاذي هوني.	لم اسمع بهذا العنوان من قبل بالقرب من هنا .
بقداش فطور الصباح؟	كم تكلفة الإفطار ؟
بقداش فطور الصباح؟	كم تكلفة الإفطار ؟
كيفاش النجم نعاونك؟	كيف أستطيع مساعدتك ؟
كيفاش انجم نعاونك؟	كيف أستطيع مساعدتك ؟
دور على الليسار مع الزنقة الثالثة.	اتجه يسارا عند الناصية الثالثة .
دور الدورة الثالثة عاليسار.	اتجه يسارا عند الناصية الثالثة .
تحب الكريمة و السكر في قهوتك؟	هل تحب أن تضع قشدة وسكر في قهوتك ؟
تحب كريمة و سكر في قهوتك؟	هل تحب أن تضع قشدة وسكر في قهوتك ؟
تنجم تصبلي الميتين دولار من الشاك هذا؟	هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟
تنجم تصبلي ها الشاك بميتين دولار متاعي؟	هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟
لو لازم يضهر، كلمني عيشك.	إذا حدث ذلك ، من فضلك أتصل بي .
لو لازم يضهر، كلمني عيشك.	إذا حدث ذلك ، من فضلك أتصل بي .
وين تجي القهوة؟	أين المقهى ؟
ويني القهوة؟	أين المقهى ؟
نحب مريول للأولاد.	أريد جاكيت للأطفال .
نحب مريول متاع صغار.	أريد جاكيت للأطفال .
باهي. خمسة و ثمانين ألف في جواب عادي، تزيد ثلاثة دولار بالظبط باش يوصلك فيسع.	حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .
باهي. مراسلة عادية بخمسة و ثمانين سنت وزايدة تلاثة دولارات بالضبط للمراسلة اللي من النوع لبخاص.	حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .
باش نلقى مشكلة مع الديوانة؟	هل لديك أحذية حريمي عند أصابع القدم ؟
عندك صبابط رسمية يكونو واسعين من شيرة الصوابع؟	هل ستواجهني أية صعوبات في الجمارك ؟
لا. تحب بيت بزوز فروشات لاستخدام شخص برك؟ عندنا وحدة حاضرة.	لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .
لا. تحب بيت فيها زوز فروشات نحسبوها لشخص برك؟ عنا وحدة.	لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .
نحب كيرلي قوي، يعيشك.	أريد تمويج متقارب لشعري ، من فضلك .
نحب برمانونت قوية، عيشك.	أريد تمويج متقارب لشعري ، من فضلك .
تحب وحدة بيرة.	هي تريد بيرة .
تحب كعبة بيرا.	هي تريد بيرة .
صباح الخير. لاباس؟	صباح الخير . كيف حالك .
سامحني لازمني نطلب منك بطاقة التعريف.	أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .
شنوة الصوص؟	أي نوع من الملابس ؟
أهو بارد شوية. تنجم تسخنه؟	هذا بارد إلى حد ما . هل يمكن أن تقوم بتسخينه ؟
هذا بارد شوية. بش تسخنو؟	هذا بارد إلى حد ما . هل يمكن أن تقوم بتسخينه ؟
شكون اعز صديق عندك؟	من هو أفضل صديق لك ؟
يوم الصحة والرياضة نهار عشرة أوكتوبر، يوم وطني باش نشجع على حياة صحية.	يوم الصحة الرياضية هو يوم العاشر من أكتوبر وهو إجازة قومية الغرض منها تحسين صحة المواطنين .
يوم الصحة والرياضة عشرة أكتوبر هو يوم وطني الهدف منو تدعيم صحة العباد.	يوم الصحة الرياضية هو يوم العاشر من أكتوبر وهو إجازة قومية الغرض منها تحسين صحة المواطنين .
تحب نثبت تحت الكبوت؟	هل تريد أن افحص موتور السيارة ؟
تحبني نشوف تحت الكبوت؟	هل تريد أن افحص موتور السيارة ؟
تنجم تعاوني باش نلقى الفليزة؟	هل لك أن تساعدني في الوصول إلى حقيبتي ؟
تعاوني بش نلقى فاليجتي؟	هل لك أن تساعدني في الوصول إلى حقيبتي ؟
تنجم تاخو كل الأمور من الأول؟	هل ستقوم بعمل الترتيبات مقدماً ؟
من فضلك اعمل التحضيرات اللازمة بالمسبق؟	هل ستقوم بعمل الترتيبات مقدماً ؟
نتلها بروحي. يعيشك.	تقدم إلىّ المساعدة ، شكراً لك .
فما شكون لاهي بيا. عيشك.	تقدم إلىّ المساعدة ، شكراً لك .
وقت توصل الغادي، اطلب من واحد آخر، يعيشك.	عندما تصل هناك أسأل شخص آخر ، من فضلك .
كيف توصل غادي، اسال شكون اخر، يعيشك.	عندما تصل هناك أسأل شخص آخر ، من فضلك .
اهم زوز دولار. حط الباقي عندك.	تفضل هذان دولاران . احتفظ بالباقي .
تفضل زوز دولارات. خلي الباقي عندك.	تفضل هذان دولاران . احتفظ بالباقي .
همبرغر وتشيز برجر، يعيشك.	واحد هامبرجر وواحد شيز برجر ، من فضلك .
اعطيني واحد برغر و واحد شيزبرغر، عيشك.	واحد هامبرجر وواحد شيز برجر ، من فضلك .
بقداش تحسب الاجراءات؟	كم تتقاضى لتطبيع صور الفيلم ؟
كل واحد يحب يخلص وحدو.	كلا منا يريد أن يحاسب على وجبته .
كانت على كرسي في الكلوار.	المكان كان على كرسي في البهو .
كان موجود على كرسي في الاستقبال.	المكان كان على كرسي في البهو .
نحب على قاموس يتحط في الجيب، يعيشك.	أريد قاموس جيب ، من فضلك .
لزوز من الناس في السبعة متاع العشية، باسم واتانابي.	لشخصين عند الساعة السابعة , الاسم وتاناب .
لزوز مالناس مع السبعة. الاسم واتانابي.	لشخصين عند الساعة السابعة , الاسم وتاناب .
فرحانين برشا باش نعتيوك مشروب تختارو إنت، متاع بعد العشاء. تلقى ليستت المشروب المقترحة على الرحلة هذه. في دليل المعلومات متاع المغازة متاعنا.	يسعدنا أن نقدم لك الشراب الذي تريده متبوعاً بالغداء . دليل كامل بالمشروبات التي نقدمها على رحلتنا موجودة في دليل المعلومات الخاص بمجلتنا .
بش يسرنا انو نسربيوكم حاجة تشربوها من اختياركم، و بعد نسربيوكم العشاء. عندكم دليل مفصل عالمشروبات الي نسربيوها في الرحلة هاذي تلقاوه في جزء المعلومات في مجلتنا.	يسعدنا أن نقدم لك الشراب الذي تريده متبوعاً بالغداء . دليل كامل بالمشروبات التي نقدمها على رحلتنا موجودة في دليل المعلومات الخاص بمجلتنا .
وين موجود حانوت الكادوات؟	أين محل الهدايا ؟
وينو حانوت الهدايا؟	أين محل الهدايا ؟
اعطيني فياقة، من فضلك.	أريد منبه ، من فضلك .
